web-scraper-order,web-scraper-start-url,container,container-href,Price,Created_date,Phone,Engine,Gearbox,Mileage,Year,Color,Body_type,Fuel_type,Air_condition,Drive_type,Condition,Model,Location
"1667573303-3917","https://www.garirbazar.com/buy-cars","102010 Toyota AllionDhakaPriceBDT 1,695,000N/A (Petrol)AutomaticToyota Allion A15 Pkg (Oil Run)

Location :Mirpur 6 

One of the Best Allion in the city,Personal used car, Model 2010, Registration 2014, Serial 37 Original Color Grey , push start, Interior black color, Tv Navigation, back camera, Super chilled AC with climate control, Not a single touch or Accidental history, Each and everything are Original as it is came it from japan, First Party smart card, Battery warranty 1 year, All papers  Up To date.2022Posted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4701","BDT 1,695,000","April 10","+880130 250 1001","EngineN/A","GearboxAutomatic","Year2010","ColorGrey","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","null","Toyota Allion","Dhaka"
"1667573305-3918","https://www.garirbazar.com/buy-cars","62005 Toyota FielderDhakaPriceBDT 945,000Mileage90,000 kmN/A (LPG)Automatic🌍 Brand : Toyota

🚗 Model :Fielder

🚗 Edition :X

🚗 Owner Type : Private

🔢 Serial : 27

🌡️ AC : Super Cool 🌬️

🛋️ Seat : 05

⛽ Weight KG : Unladen 1130, Laden 1405

⛽ Hire : No

⛽ Wheel Base : 2430

🧫 Color : White

🚗 Year of Model : 2005

🚗 Registration Year : 2010

🚗 Condition : Personal Used

🚗 Transmission : Auto

🚗 Body Type : Full Fresh

⛽ Fuel Type : Petrol, CNG

🚗 Engine Capacity : 1500 CC

🚗 Tyre Size : 185/65R14

🛣️ Kilometres Run :90k kilo

🏪 Fitness Date : 26-06-2022

🏪 Token Date- 14-04-2023

🏪 First party, Smart Card

⛽ Issuing Authority : Mirpur BRTA

✅ No need of any dent or paint work.

✅ The car was driven by owner only & maintained with original parts.

✅ 100% just buy and drive condition like a recondition unit.

MIRPURPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-fielder-dhaka-dhaka-4702","BDT 945,000","April 10","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage90,000 km","Year2005","ColorWhite","Body TypeHatch","Fuel TypeLPG","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Fielder","Dhaka"
"1667573308-3919","https://www.garirbazar.com/buy-cars","102012 Toyota AxioDhakaPriceBDT 1,480,000Mileage59,000 kmN/A (Petrol)Automatic=> BRAND : TOYOTA - AXIO 

=> MODEL YEAR :  2012

=> REG. YEAR : 2019

=> ENGINE : 1500 CC

=> FUEL TYPE : OCTANE ONLY

=> COLOUR : WHITE

=> PAPERS : UP-TO-DATED

MIRPUR - 6Posted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-axio-dhaka-dhaka-4703","BDT 1,480,000","April 10","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage59,000 km","Year2012","ColorWhite","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Axio","Dhaka"
"1667573310-3920","https://www.garirbazar.com/buy-cars","152013 Toyota AxioDhakaPriceBDT 1,520,000Mileage38,000 kmN/A (Petrol)AutomaticBrand Name :.......................... TOYOTA
Model :.................................... AXIO NEW SHAPE
Grede :...…....….................….... X Edition 
Year Model :............................. 2013 
Registration:............................ 2019
Condition:................................ USED
Transmission:.......................... AUTOMATIC 
Body type:............................... SALOON
⛽ Fuel :................................... OCTANE 
Engine :.................................... VVT-i
Engine capacity:.................... 1,500 CC
Colour:..................................... WHITE 
Interior:.................................... BLACK 
Serial:....................................... 28
Mileage:................................... 38 H.KM (ORIGINAL)

ALL PARTS ARE ORIGINAL! 

DESCRIPTION:
""""""""""""""""""""""""""""""""
Toyota Axio fielder-2013
Key Start,ABS, 2 SRS Air Bag ,Alloy Wheel,Black Interior, Fabric Seat,Central Door & Window Door Lock,DVD ,Navigation,FM,Fog Lights,Winker & Retract Mirror,Power Mirror,Power Window, Super Aic Cool AC,RPM Meter, Electronic Stability Control,Power Steering,Steering Controller, Rear Spoiler,Personalized Glass,TRC,ARM Rest, Head Rest,Rear Wiper.

Paper's - Upto datePosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-axio-dhaka-dhaka-4704","BDT 1,520,000","April 10","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage38,000 km","Year2013","ColorWhite","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Axio","Dhaka"
"1667573313-3921","https://www.garirbazar.com/buy-cars","91994 Toyota CorollaDhakaPriceNEGOTIABLEMileage28,000 kmN/A (Gas)Automatic- Make: Toyota
- Model: Sprinter EE 100.
- Manufacturing Year: 1994
- Registration: 2000
- Displacement:  1330 cc. 
- Transmission: Auto
- Door + Window: Manual
- 14"" Alloy wheels
- 4 almost new tyres
- New Battery
- Nice cool AC
- Pioneer CD player
- petrol and CNG(60 ltr) both ok
- All papers up-to-dated
- Digital Number plate with Smart Card
- No history of any major accident.

This well maintained car is driven by defence officer mainly within cantonment area. 
For any further queries please call or leave a message to 01678691599Posted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-corolla-dhaka-dhaka-4705","NEGOTIABLE","April 10","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage28,000 km","Year1994","ColorWhite","Body TypeSaloon","Fuel TypeGas","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Corolla","Dhaka"
"1667573315-3922","https://www.garirbazar.com/buy-cars","102012 Toyota AxioDhakaPriceBDT 1,420,000N/A (Petrol)AutomaticTOYOTA AXIO New Shape 2012 First Party & Family 
Model: Axio 
Package: X
Condition: Super Fresh a one Condition 
Year of production: 2012
Registration year: 2017
Color: White Original 
Engine: VVT-i  Stock Engine 
CC: 1500
Interior: Biscuit 

Key Start 
Key Less Entry
Built-in Tv/Dvd/Back-Camera
Chilled ac
Black tinted glass 
1 Remote 
14”original alloy rims with 4 fresh tyres 

*No accidental history 
*Super fast Name transfer process. 

Papers
All Papers up to date 2023Posted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-axio-dhaka-dhaka-4706","BDT 1,420,000","April 11","+880130 250 1001","EngineN/A","GearboxAutomatic","Year2012","ColorWhite","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","null","Toyota Axio","Dhaka"
"1667573318-3923","https://www.garirbazar.com/buy-cars","72019 Toyota AllionDhakaPriceBDT 3,500,0001.5 L (Petrol)AutomaticTOYOTA ALLION, NZT260, G, 4D, AT, AAC, PS, PW, SRS, ABS, FOG, AUDIO STEERING, PRECRASH SAFETY SYSTEM, YEAR 2019, NEW SHAPE, 1490CC, WINE(3T0) COLOR, WINKER MIRROR, WOODEN STEERING, WOODEN PANEL, IDLING STOP, CHASSIS NO. NZT260-3220822, ENGINE TYPE:1NZ,  (PT 4)K-15,790,SMART KEYPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4707","BDT 3,500,000","April 11","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2019","ColorOther","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionImport","null","Toyota Allion","Dhaka"
"1667573320-3924","https://www.garirbazar.com/buy-cars","82018 Toyota AllionDhakaPriceBDT 3,030,0001.5 L (Petrol)AutomaticTOYOTA ALLION, NZT260, A15, 4D, AT, AC, PS, PW, SRS, ABS, NAVI, YEAR 2018, 1490CC, SILVER COLOR, WINKER MIRROR, WOODEN PANEL, WOODEN STEERING, IDLING STOP, CHASSIS NO. NZT260-3211947, ENGINE TYPE:1NZ,  (PT 4)K-10,715,NORMAL KEYPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4708","BDT 3,030,000","April 11","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2018","ColorSilver","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionImport","null","Toyota Allion","Dhaka"
"1667573323-3925","https://www.garirbazar.com/buy-cars","31995 Toyota CorollaDhakaPriceNEGOTIABLEMileage95,000 kmN/A (Gas)AutomaticTax Token 2022
Fitness 2023Posted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-corolla-dhaka-dhaka-4709","NEGOTIABLE","April 11","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage95,000 km","Year1995","ColorOther","Body TypeSedan","Fuel TypeGas","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Corolla","Dhaka"
"1667573325-3926","https://www.garirbazar.com/buy-cars","92017 Toyota AllionDhakaPriceBDT 3,300,0001.5 L (Petrol)AutomaticTOYOTA ALLION, NZT260, G, 4D, AT, AAC, PS, PW, SRS, ABS, FOG, NAVI, BACK MONITOR, AUDIO STEERING, PRECRASH SAFETY SYSTEM, YEAR 2017, NEW SHAPE, 1490CC, PEARL COLOR, WINKER MIRROR, WOODEN STEERING, WOODEN PANEL, IDLING STOP, CHASSIS NO. NZT260-3197258, ENGINE TYPE:1NZ, (PT 3.5)K-13,529,SMART KEYPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4710","BDT 3,300,000","April 11","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2017","ColorOther","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","null","Toyota Allion","Dhaka"
"1667573328-3927","https://www.garirbazar.com/buy-cars","102010 Toyota PremioDhakaPriceBDT 1,890,000Mileage65,121 kmN/A (Petrol)Automatic★ CAR NAME :premio

★MODEL         : 2010

★Reg YEAR    :2011

★SERIAL         :Ga-31

★MILEGE        :65121

★COLOR          :paul

★FUEL             :octane

★CC                 :1500

♠️ SUPER FRESH,সামনেও পিছনের সবগুলো গ্লাস অরিজিনাল।প্রথম মালিক স্মার্ট কার্ড।  কোনো প্রকারের খোলা কাটা নেই কোন প্রকারের কাজ করতে হবে না।একদম জাপান কন্ডিশন। জাপান কন্ডিশন না হলে টাকা ফেরত 

♦️ Air  cool, power stering,Disk brake,Alloy rim with new tyre,All power and full option.

All papers up to date

TEJGAONPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-premio-dhaka-dhaka-4711","BDT 1,890,000","April 11","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage65,121 km","Year2010","ColorWhite","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Premio","Dhaka"
"1667573330-3928","https://www.garirbazar.com/buy-cars","82011 Toyota PremioDhakaPriceBDT 1,920,000Mileage62,000 kmN/A (LPG)AutomaticPremio FL Ltd Pearl colour AC All auto 1500Cc. CNG TV Back camera Fog lamp woden panel Optical meter Base Interior Hid Head Light Push start. 35 serial 2011 Model .Regi 2013 . No Accident fresh condition

RAMNAPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-premio-dhaka-dhaka-4712","BDT 1,920,000","April 11","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage62,000 km","Year2011","ColorWhite","Body TypeSedan","Fuel TypeLPG","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Premio","Dhaka"
"1667573333-3929","https://www.garirbazar.com/buy-cars","102018 Toyota AllionDhakaPriceBDT 3,425,0001.5 L (Gas)ManualTOYOTA ALLION, NZT260, G, 4D, AT, AAC, PS, PW, SRS, ABS, FOG, AUDIO STEERING, PRECRASH SAFETY SYSTEM, YEAR 2018, NEW SHAPE, 1490CC, GRAY  COLOR, WINKER MIRROR, WOODEN STEERING, WOODEN PANEL, IDLING STOP, CHASSIS NO. NZT260-3205873, ENGINE TYPE:1NZ,(PT 3.5)K-24,649,SMART KEY,Posted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4713","BDT 3,425,000","April 11","+880130 250 1001","Engine1.5 L","GearboxManual","Year2018","ColorGrey","Body TypeSedan","Fuel TypeGas","Air ConYes","Drive TypeRight","ConditionImport","null","Toyota Allion","Dhaka"
"1667573335-3930","https://www.garirbazar.com/buy-cars","92012 Toyota PremioDhakaPriceBDT 2,080,000Mileage58,396 kmN/A (Petrol)AutomaticCondition : Super Fresh,

Manufacturer : TOYOTA JAPAN

Series : Premio 

Model : 2012

Registration : 2014

Mileage : 57000

Serial :  GA-34

Engine : VVTI

Engine capacity : 1500 cc.

Transmission : Auto with OD.

Color : Black  Original,

Fuel System : Octane+CNG

Options : A/C Cold,Baez Interior  

PUSH START, DVD+HID Light. FOG LAMPS.Super cool ac, soft touch air panel, EBD, 2 Air Bag, set power, 4 ABS, Disk Brake,

Tilt Power Steering, Central , UVS & Tempered Glass, All Power & Full Option.

No, any accidental history, All Papers up-to-date 2 years,

Fitness: 

Tax Token: 

 Smart Card 

BANANIPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-premio-dhaka-dhaka-4714","BDT 2,080,000","April 11","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage58,396 km","Year2012","ColorBlack","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Premio","Dhaka"
"1667573338-3931","https://www.garirbazar.com/buy-cars","62019 Toyota AllionDhakaPriceBDT 3,400,0001.5 L (Petrol)AutomaticTOYOTA ALLION, NZT260, G, 4D, AT, AAC, PS, PW, SRS, ABS, FOG, CD, AUDIO STEERING, PRECRASH SAFETY SYSTEM, YEAR 2019, NEW SHAPE, 1490CC, PEARL COLOR, WINKER MIRROR, WOODEN STEERING, WOODEN PANEL, IDLING STOP, CHASSIS NO. NZT260-3218762, ENGINE TYPE:1NZ,(PT 4)K-29,607,SMART KEYPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4715","BDT 3,400,000","April 11","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2019","ColorWhite","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionImport","null","Toyota Allion","Dhaka"
"1667573340-3932","https://www.garirbazar.com/buy-cars","62017 Toyota AllionDhakaPriceBDT 3,480,0001.5 L (Petrol)AutomaticTOYOTA ALLION, NZT260, G, LED HEAD LAMP, 4D, AT, AAC, PS, PW, SRS, ABS, FOG, NAVI, BACK MONITOR, AUDIO STEERING, PRECRASH SAFETY SYSTEM, YEAR 2017, NEW SHAPE, 1490CC, PEARL COLOR, WINKER MIRROR, WOODEN STEERING, WOODEN PANEL, IDLING STOP, CHASSIS NO. NZT260-3191623, ENGINE TYPE:1NZ,(PT 4.5)K-37,583,SMART KEYPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4716","BDT 3,480,000","April 11","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2017","ColorWhite","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","null","Toyota Allion","Dhaka"
"1667573343-3933","https://www.garirbazar.com/buy-cars","62017 Toyota AllionDhakaPriceBDT 3,250,0001.5 L (Petrol)Automatic 

TOYOTA ALLION, NZT260, G, LED HEAD LAMP, 4D, AT, AAC, PS, PW, SRS, ABS, FOG, NAVI, BACK MONITOR, AUDIO STEERING, PRECRASH SAFETY SYSTEM, YEAR 2017, NEW SHAPE, 1490CC, SILVER COLOR, WINKER MIRROR, WOODEN STEERING, WOODEN PANEL, IDLING STOP,CHASSIS NO. NZT260-3189721, ENGINE TYPE:1NZ,  (PT 4.5)K-70,863,SMART KEYPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4717","BDT 3,250,000","April 11","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2017","ColorSilver","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionImport","null","Toyota Allion","Dhaka"
"1667573346-3934","https://www.garirbazar.com/buy-cars","62016 Toyota AllionDhakaPriceBDT 2,980,0001.5 L (Petrol)AutomaticTOYOTA ALLION, NZT260, G, 4D, AT, AAC, PS, PW, SRS, ABS, H-CD, AUDIO STEERING, PRECRASH SAFETY SYSTEM, YEAR 2016, NEW SHAPE, 1490CC, WHITE COLOR, WINKER MIRROR, WOODEN STEERING, WOODEN PANEL, IDLING STOP, CHASSIS NO. NZT260-3179087,ENGINE TYPE:1NZ, (PT 4)K-69,582,SMART KEY,Posted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4718","BDT 2,980,000","April 11","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2016","ColorWhite","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionImport","null","Toyota Allion","Dhaka"
"1667573348-3935","https://www.garirbazar.com/buy-cars","122019 Toyota AllionDhakaPriceBDT 3,660,0001.5 L (Petrol)AutomaticTOYOTA ALLION, NZT260, G, LED HEAD LAMP, 4D, AT, AAC, PS, PW, SRS, ABS, FOG, NAVI, BACK MONITOR, AUDIO STEERING, PRECRASH SAFETY SYSTEM, YEAR 2019, NEW SHAPE, 1490CC, WINE(3T0) COLOR, WINKER MIRROR, WOODEN STEERING, WOODEN PANEL, IDLING STOP, BEIGE SEAT, CHASSIS NO. NZT260-3220386, ENGINE TYPE:1NZ (PT 4.5)K-11,267,SMART KEYPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4719","BDT 3,660,000","April 11","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2019","ColorMaroon","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionImport","null","Toyota Allion","Dhaka"
"1667573350-3936","https://www.garirbazar.com/buy-cars","102003 Toyota CorollaDhakaPriceBDT 890,000Mileage90,000 kmN/A (Gas)Manual🌍 Brand : Toyota

🚗 Model : corolla

🚗 Edition : X

🚗 Owner Type : Private

🔢 Serial : 19

🌡️ AC : Super Cool 🌬️

🛋️ Seat : 05

⛽ Weight KG : Unladen 1060, Laden 1335

⛽ Hire : No

⛽ Wheel Base : 2430

🧫 Color : Silver

🚗 Year of Model : 2003

🚗 Registration Year : 2007

🚗 Condition : Personal Used

🚗 Transmission : Auto

🚗 Body Type : Full Fresh

⛽ Fuel Type : Petrol, CNG-60 ltr

🚗 Engine Capacity : 1500 CC

🚗 Tyre Size : 175/70R14

🛣️ Kilometres Run :90+ kilo

🏪 Fitness Date :05-04-2024

🏪 Token Date :07-03-2023

⛽ Issuing Authority : Mirpur BRTA

✅ No need of any dent or paint work.

✅ The car was driven by owner only & maintained with original parts.

MIRPUR 10Posted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-corolla-dhaka-dhaka-4720","BDT 890,000","April 11","+880130 250 1001","EngineN/A","GearboxManual","Mileage90,000 km","Year2003","ColorSilver","Body TypeSedan","Fuel TypeGas","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Corolla","Dhaka"
"1667573353-3937","https://www.garirbazar.com/buy-cars","62017 Toyota AllionDhakaPriceBDT 3,475,0001.5 L (Petrol)AutomaticTOYOTA ALLION, NZT260, G-PLUS, LED HEAD LAMP, 4D, AT, AAC, PS, PW, SRS, ABS, FOG, NAVI, BACK MONITOR, AUDIO STEERING, PRECRASH SAFETY SYSTEM, HALF LEATHER BEIGE SEAT, YEAR 2017, NEW SHAPE, 1490CC, PEARL COLOR, POWER SEAT, WINKER MIRROR, WOODEN STEERING, WOODEN PANEL, IDLING STOP, BEIGE SEAT, ALLOY WHEEL, CHASSIS NO. NZT260-3198188,  ENGINE TYPE:1NZ, (PT 4.5)K-62,845,SMART KEYPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4721","BDT 3,475,000","April 11","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2017","ColorWhite","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionImport","null","Toyota Allion","Dhaka"
"1667573355-3938","https://www.garirbazar.com/buy-cars","142003 Toyota CorollaDhakaPriceBDT 895,000Mileage75,000 kmN/A (LPG)AutomaticRef : 1496

Manufacturer :- TOYOTA

Condition :- EXCELENT

Car Name :- TOYOTA X-COROLLA

Model :- 2003

Reg:- 2008

Serial No :- 23

Engine Capacity :- 1500

Transmission :- Automatic

Color :- WHITE

Fuel System :- Octane/CNG

TAX-18-DEC-2023 & FITNESS-24-06-2022.

Option: Full Option All Auto, Central Lock, Auto Key Door Lock & Unlock System , Excellent Built In AC, Tempered Glass, Good Tire, ABS, Etc. [100% No Accident History & Any time Name transfer Possible] For more information feel free to call.. Thank you..

BARIDHARAPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-corolla-dhaka-dhaka-4722","BDT 895,000","April 11","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage75,000 km","Year2003","ColorWhite","Body TypeSedan","Fuel TypeLPG","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Corolla","Dhaka"
"1667573358-3939","https://www.garirbazar.com/buy-cars","82017 Toyota AllionDhakaPriceBDT 3,400,0001.5 L (Petrol)AutomaticTOYOTA ALLION, NZT260, G-PLUS, LED HEAD LAMP, 4D, AT, AAC, PS, PW, SRS, ABS, FOG, NAVI, BACK MONITOR, AUDIO STEERING, PRECRASH SAFETY SYSTEM, HALF LEATHER BEIGE SEAT, YEAR 2017, NEW SHAPE, 1490CC, SILVER COLOR, POWER SEAT, WINKER MIRROR, WOODEN STEERING, WOODEN PANEL, IDLING STOP, BEIGE SEAT, CHASSIS NO. NZT260-3200614,ENGINE TYPE:1NZ, (PT 4) K-20,167,SMART KEYPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4723","BDT 3,400,000","April 11","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2017","ColorSilver","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionImport","null","Toyota Allion","Dhaka"
"1667573360-3940","https://www.garirbazar.com/buy-cars","52005 Toyota CorollaDhakaPriceBDT 985,000Mileage94,000 kmN/A (LPG)Automatic# ফ্রেশ কন্ডিশন, ফ্যামিলি ব্যাবহৃহ

# কোনো এক্সিডেন্ট হিস্ট্রি নাই, সামনে পিছনের গ্লাস অর্জিনাল 

# এসি ইঞ্জিন কন্ডিশন খুব ভালো, এসি খুব ভালো ঠান্ডা হয় 

# ডিভিডি প্লেয়ার ও ব্যাক ক্যামেরা, খুব সুন্দর মিউসিক সিস্টেম 

# কাগজপত্র আপটুডেট, টেক্সটোকেন ৩ মাস,ফিটনেস ৬ মাস আপডেট আছে 

# মিরপুর বিআরটিএ, যে কোনো সময় মালিকানা পরিবর্তন করা যাবে 

MIRPURPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-corolla-dhaka-dhaka-4724","BDT 985,000","April 11","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage94,000 km","Year2005","ColorWhite","Body TypeSedan","Fuel TypeLPG","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Corolla","Dhaka"
"1667573362-3941","https://www.garirbazar.com/buy-cars","122017 Toyota AllionDhakaPriceBDT 3,500,0001.5 L (Petrol)AutomaticTOYOTA ALLION, NZT260, G-PLUS, LED HEAD LAMP, 4D, AT, AAC, PS, PW, SRS, ABS, FOG, NAVI, BACK MONITOR, AUDIO STEERING, PRECRASH SAFETY SYSTEM, HALF LEATHER BEIGE SEAT, YEAR 2017, NEW SHAPE, 1490CC, WINE  COLOR, POWER SEAT, WINKER MIRROR, WOODEN STEERING, WOODEN PANEL, IDLING STOP, BEIGE SEAT, CHASSIS NO. NZT260-3196225,  ENGINE TYPE:1NZ,(PT 4)K-31,350,SMART KEYPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4725","BDT 3,500,000","April 11","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2017","ColorMaroon","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionImport","null","Toyota Allion","Dhaka"
"1667573365-3942","https://www.garirbazar.com/buy-cars","82019 Toyota AllionDhakaPriceBDT 3,650,0001.5 L (Petrol)AutomaticTOYOTA ALLION, NZT260, G-PLUS, LED HEAD LAMP, 4D, AT, AAC, PS, PW, SRS, ABS, FOG, NAVI, BACK MONITOR, AUDIO STEERING, PRECRASH SAFETY SYSTEM, HALF LEATHER BEIGE SEAT, YEAR 2019, NEW SHAPE, 1490CC, SILVER COLOR, POWER SEAT, WINKER MIRROR, WOODEN STEERING, WOODEN PANEL, IDLING STOP, BEIGE SEAT, CHASSIS NO. NZT260-3216230,  ENGINE TYPE:1NZ,(PT 4)K-27,947,SMART KEYPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4726","BDT 3,650,000","April 11","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2019","ColorSilver","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionImport","null","Toyota Allion","Dhaka"
"1667573367-3943","https://www.garirbazar.com/buy-cars","24Toyota AllionDhakaPriceBDT 3,350,0001.5 L (Petrol)Automatic     

TOYOTA ALLION, NZT260, G, 4D, AT, AAC, PS, PW, SRS, ABS, NAVI, BACK MONITOR, AUDIO STEERING, PRECRASH SAFETY SYM, YEAR 2017, NEW SHAPE, 1490CC, BLUISH GREEN(221) COLOR, WINKER MIRROR, WOODEN STEERING, WOODEN PANEL, IDLING STOP, CHASSIS NO. NZT260-3189544, ENGINE TYPE:1NZ,(PT 4)K-96,183,SMART KEYPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-4727","BDT 3,350,000","April 11","+880130 250 1001","Engine1.5 L","GearboxAutomatic","YearN/A","ColorGreen","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionImport","null","Toyota Allion","Dhaka"
"1667573370-3944","https://www.garirbazar.com/buy-cars","202016 Honda VezelDhakaPriceBDT 2,370,000Mileage48,000 kmN/A (Hybrid)Automatic
Condition Very very good

 -সামনে পিছে  সবগুলো গ্লাস অরিজিনাল ,প্রথম মালিক ‌: কোন ধরনের কাজ নাই : খোলা কাটা নাই। কালার 100%অরজিনাল,  কন্ডিশন অনেক সুন্দর,

Manufacturer : Honda  Japan 

Series : Honda Vezel RS Package,

Super Fresh condition,  

no accident history,

Model :2016

K/M Ran Original 48000,,

Registration :2018.

Displacement : 1500 cc

Transmission : Automatic with OD

Color : white pal 100% original colour

Fuel System : Octane & Hybrid 18/25

Options  :  Push Start fully loaded fully  leather sheet , DVD player Back Camera excellent AC, Cd, Tilt Power Steering, Disk Brake, Power Windows & Mirror, 4 ABS, 2 Airbag,  

Central , SUV Tempered Glass,Alloy Rim With New Tyre, All Power & Full Option,Tv navigation Back Camera, no accident history

All Papers R Up to date 2023

UTTARAPosted 7 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-vezel-dhaka-dhaka-4728","BDT 2,370,000","April 11","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage48,000 km","Year2016","ColorWhite","Body Type4 Wheel Drives & SUVs","Fuel TypeHybrid","Air ConYes","Drive TypeRight","ConditionUsed","Honda Vezel","Dhaka"
